course_code,sdg_number,sdg_name,addressed,justification,timestamp
LING5029,3,Good Health and Well-being,Supported,"Keywords detected: brain damage, impairment",2024-11-25 15:31:31.244610
LING5029,7,Affordable and Clean Energy,Supported,Keywords detected: power,2024-11-25 15:31:31.244610
PSYC7239,12,Responsible Consumption and Production,Focus,Keywords detected: lifespan,2024-11-25 15:31:32.027418
PSYC7239,3,Good Health and Well-being,Supported,"Keywords detected: lifespan, impairment",2024-11-25 15:31:32.027418
PSYC7239,10,Reduced Inequalities,Supported,"Keywords detected: individual need, cult, cult",2024-11-25 15:31:32.027418
PSYC7239,4,Quality Education,Supported,"Keywords detected: cultur, cultur, training",2024-11-25 15:31:32.027418
PSYC7239,16,"Peace, Justice and Strong Institutions",Supported,"Keywords detected: obligation, responsiveness",2024-11-25 15:31:32.027418
JURD7479,8,Decent Work and Economic Growth,Supported,"Keywords detected: trade, trade",2024-11-25 15:31:32.306108
JURD7479,9,Industry Innovation and Infrastructure,Supported,"Keywords detected: trade, trade",2024-11-25 15:31:32.306108
JURD7428,15,Life on Land,Supported,Keywords detected: land,2024-11-25 15:31:32.636919
JURD7428,11,Sustainable Cities and Communities,Focus,Keywords detected: creativ,2024-11-25 15:31:32.636919
JURD7428,4,Quality Education,Supported,Keywords detected: creative,2024-11-25 15:31:32.636919
JURD7428,8,Decent Work and Economic Growth,Supported,Keywords detected: corporate governance,2024-11-25 15:31:32.636919
JURD7428,9,Industry Innovation and Infrastructure,Supported,"Keywords detected: governance, governance",2024-11-25 15:31:32.636919
HDAT9400,16,"Peace, Justice and Strong Institutions",Supported,Keywords detected: security,2024-11-25 15:31:33.199480
JURD7632,8,Decent Work and Economic Growth,Supported,Keywords detected: justice,2024-11-25 15:31:34.297174
JURD7632,10,Reduced Inequalities,Supported,"Keywords detected: just, cult",2024-11-25 15:31:34.297174
JURD7632,4,Quality Education,Supported,Keywords detected: cultur,2024-11-25 15:31:34.297174
MDIA2011,6,Clean Water and Sanitation,Supported,Keywords detected: fen,2024-11-25 15:31:34.609345
MDIA2011,10,Reduced Inequalities,Supported,Keywords detected: social responsibil,2024-11-25 15:31:34.609345
AVIA5006,9,Industry Innovation and Infrastructure,Supported,"Keywords detected: inquiry, industry",2024-11-25 15:31:35.629906
AVIA5006,10,Reduced Inequalities,Supported,"Keywords detected: cult, cult",2024-11-25 15:31:35.629906
MDIA3009,10,Reduced Inequalities,Focus,"Keywords detected: culture, cult, cult",2024-11-25 15:31:35.927100
MDIA3009,4,Quality Education,Supported,"Keywords detected: cultur, cultur",2024-11-25 15:31:35.927100
ARTS1481,8,Decent Work and Economic Growth,Supported,Keywords detected: exchange,2024-11-25 15:31:36.431240
LAWS3319,3,Good Health and Well-being,Supported,"Keywords detected: police, police, police, police",2024-11-25 15:31:36.771688
LAWS3319,7,Affordable and Clean Energy,Supported,"Keywords detected: power, power, power, power",2024-11-25 15:31:36.771688
LAWS3319,16,"Peace, Justice and Strong Institutions",Supported,"Keywords detected: accountability, accountability, accountability, disadvantage",2024-11-25 15:31:36.771688
LAWS3319,8,Decent Work and Economic Growth,Supported,Keywords detected: justice,2024-11-25 15:31:36.771688
LAWS3319,10,Reduced Inequalities,Supported,"Keywords detected: disadvantage, just",2024-11-25 15:31:36.771688
BEES3199,9,Industry Innovation and Infrastructure,Supported,Keywords detected: inquiry,2024-11-25 15:31:37.112860
CVEN4402,11,Sustainable Cities and Communities,Supported,"Keywords detected: transport network, transport network",2024-11-25 15:31:37.472030
CVEN4402,10,Reduced Inequalities,Supported,Keywords detected: just,2024-11-25 15:31:37.472030
MATH3191,4,Quality Education,Focus,"Keywords detected: science, science",2024-11-25 15:31:37.822638
MATH3191,7,Affordable and Clean Energy,Focus,Keywords detected: efficiency,2024-11-25 15:31:37.822638
MATH3191,11,Sustainable Cities and Communities,Focus,Keywords detected: efficiency,2024-11-25 15:31:37.822638
MATH3191,13,Climate Action,Focus,Keywords detected: efficiency,2024-11-25 15:31:37.822638
MINE5020,9,Industry Innovation and Infrastructure,Supported,Keywords detected: exploration,2024-11-25 15:31:38.263129
MINE5020,11,Sustainable Cities and Communities,Supported,Keywords detected: hazards,2024-11-25 15:31:38.263129
LAND2421,15,Life on Land,Supported,"Keywords detected: land, land, land",2024-11-25 15:31:38.613530
JURD7623,16,"Peace, Justice and Strong Institutions",Supported,Keywords detected: obligation,2024-11-25 15:31:39.097572
LAWS3182,13,Climate Action,Focus,"Keywords detected: human right, human right, human right, human right, human right, human right, human right, human right",2024-11-25 15:31:39.610602
LAWS3182,4,Quality Education,Supported,"Keywords detected: human right, human right, human right, human right, human right, human right, human right, human right",2024-11-25 15:31:39.610602
LAWS3182,16,"Peace, Justice and Strong Institutions",Supported,"Keywords detected: human rights, human rights, human rights, human rights, human rights, human rights, human rights, human rights",2024-11-25 15:31:39.610602
LAWS3182,7,Affordable and Clean Energy,Supported,Keywords detected: power,2024-11-25 15:31:39.610602
INFS4800,8,Decent Work and Economic Growth,Supported,"Keywords detected: business, business, business, business",2024-11-25 15:31:39.880611
DDES4200,9,Industry Innovation and Infrastructure,Supported,Keywords detected: scientific research,2024-11-25 15:31:40.798471
DDES4200,7,Affordable and Clean Energy,Focus,Keywords detected: sustainab,2024-11-25 15:31:40.798471
DDES4200,11,Sustainable Cities and Communities,Focus,Keywords detected: sustainab,2024-11-25 15:31:40.798471
DDES4200,13,Climate Action,Focus,Keywords detected: sustainab,2024-11-25 15:31:40.798471
ARTS2781,10,Reduced Inequalities,Focus,"Keywords detected: culture, cult, culture, cult, just",2024-11-25 15:31:42.017980
ARTS2781,4,Quality Education,Supported,"Keywords detected: cultur, cultur, variety",2024-11-25 15:31:42.017980
CODE1210,10,Reduced Inequalities,Focus,"Keywords detected: culture, cult",2024-11-25 15:31:42.416266
CODE1210,4,Quality Education,Supported,Keywords detected: cultur,2024-11-25 15:31:42.416266
CODE1210,9,Industry Innovation and Infrastructure,Supported,"Keywords detected: technolog, technolog, technolog",2024-11-25 15:31:42.416266
SOLA4952,9,Industry Innovation and Infrastructure,Supported,Keywords detected: industry,2024-11-25 15:31:42.879826
BIOM9311,5,Gender Equality,Supported,"Keywords detected: medical, medical, medical",2024-11-25 15:31:43.324943
BIOM9311,6,Clean Water and Sanitation,Focus,Keywords detected: release,2024-11-25 15:31:43.324943
CRIM2020,6,Clean Water and Sanitation,Supported,Keywords detected: fen,2024-11-25 15:31:44.264334
CRIM2020,10,Reduced Inequalities,Supported,"Keywords detected: doctrine, just",2024-11-25 15:31:44.264334
CRIM2020,8,Decent Work and Economic Growth,Supported,Keywords detected: justice,2024-11-25 15:31:44.264334
IEST7200,13,Climate Action,Focus,"Keywords detected: environmental challenge, environmental problem",2024-11-25 15:31:44.663220
IEST7200,10,Reduced Inequalities,Supported,Keywords detected: opening,2024-11-25 15:31:44.663220
IEST7200,4,Quality Education,Supported,Keywords detected: variety,2024-11-25 15:31:44.663220
IEST7200,16,"Peace, Justice and Strong Institutions",Supported,Keywords detected: accountability,2024-11-25 15:31:44.663220
DIET2004,12,Responsible Consumption and Production,Focus,"Keywords detected: nutrition, nutrition, nutrition",2024-11-25 15:31:45.554582
DIET2004,2,Zero Hunger,Supported,"Keywords detected: nutrition, nutrition, nutrition",2024-11-25 15:31:45.554582
